127.0.0.1 - - [19/Aug/2017:21:17:13 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 200 10199
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 200 59976
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:14 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 200 157131
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:17:15 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2820
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/images/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:30 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:19:31 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:20:45 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:20:48 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:45 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:21:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [19/Aug/2017:21:22:25 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2371
